state,median home price,monthly rent (2 bed)
AL,283500,1005.8
AK,388700,1193.6
AZ,442900,1353.8
AR,256800,945.4
CA,818300,1992
CO,616100,1669
CT,430400,1654
DE,361400,1412
DC,605750,2152
FL,404100,1542
GA,376900,1250
HI,784500,2234
ID,481100,1019
IL,291600,1361
IN,264400,1096
IA,327300,1011
KS,278600,1016
KY,268300,997
LA,246900,1046
ME,415200,1585
MD,432900,1810
MA,621700,2029
MI,266500,1130
MN,349600,1339
MS,255800,967
MO,265300,1076
MT,463962,1071
NE,288100,1116
NV,467700,1372
NH,491300,1585
NJ,540000,1992
NM,374300,1036
NY,551300,1832
NC,375900,1155
ND,262706,1076
OH,255100,1078
OK,245000,965
OR,506200,1415
PA,296900,1292
RI,514500,1471
SC,375400,1184
SD,321300,903
TN,383200,1101
TX,344300,1285.6
UT,549200,1278.6
VT,406100,1153
VA,450200,1810
WA,635500,1415
WV,256800,838.8
WI,316100,1098.8
WY,353250,983
